MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
KLR1001,KLR,1,2020-12-04T15:16:22Z,Jesse R,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1001,KLR,1,2020-12-04T15:16:22Z,Gordon C,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1002,KLR,1,2020-12-04T15:21:55Z,Jeremy E,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1002,KLR,1,2020-12-04T15:21:55Z,Christian W,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1003,KLR,1,2020-12-04T15:24:28Z,Damian S,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1003,KLR,1,2020-12-04T15:24:28Z,Vincent T,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1004,KLR,1,2020-12-04T15:29:45Z,Karen W,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1004,KLR,1,2020-12-04T15:29:45Z,Joe U,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1005,KLR,1,2020-12-04T15:36:49Z,Richard K,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1005,KLR,1,2020-12-04T15:36:49Z,Maxime R,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1006,KLR,1,2020-12-04T15:53:00Z,Johnny M,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1006,KLR,1,2020-12-04T15:53:00Z,Chris Y,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1007,KLR,1,2020-12-04T16:01:28Z,Kevin O,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1007,KLR,1,2020-12-04T16:01:28Z,Ryan D,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1008,KLR,1,2020-12-04T16:12:52Z,Tobias S,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1008,KLR,1,2020-12-04T16:12:52Z,Damian S,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1009,KLR,1,2020-12-04T16:14:08Z,Christian W,Win,2,1,1,FALSE,2-1,6,FALSE
KLR1009,KLR,1,2020-12-04T16:14:08Z,Jesse R,Loss,2,1,1,FALSE,2-1,6,FALSE
KLR1010,KLR,1,2020-12-04T16:16:41Z,Gordon C,Win,2,1,1,FALSE,2-1,6,FALSE
KLR1010,KLR,1,2020-12-04T16:16:41Z,Joe U,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1011,KLR,1,2020-12-04T16:21:12Z,Clayton H,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1011,KLR,1,2020-12-04T16:21:12Z,Karen W,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1012,KLR,1,2020-12-04T16:33:13Z,Shawn R,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1012,KLR,1,2020-12-04T16:33:13Z,Jean-Rene B,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1013,KLR,1,2020-12-04T16:41:04Z,Johnny M,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1013,KLR,1,2020-12-04T16:41:04Z,Alex D,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1014,KLR,1,2020-12-04T16:48:21Z,Jeremy E,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1014,KLR,1,2020-12-04T16:48:21Z,Clayton H,Loss,2,1,1,FALSE,2-1,6,FALSE
KLR1015,KLR,1,2020-12-04T16:48:25Z,Gordon C,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1015,KLR,1,2020-12-04T16:48:25Z,Tobias S,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1016,KLR,1,2020-12-04T16:50:25Z,Damian S,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1016,KLR,1,2020-12-04T16:50:25Z,Jeremy E,Loss,3,2,1,FALSE,2-1,6,FALSE
KLR1017,KLR,1,2020-12-04T16:52:24Z,Maxime R,Win,2,1,1,FALSE,2-0,6,FALSE
KLR1017,KLR,1,2020-12-04T16:52:24Z,Joe U,Loss,3,0,3,FALSE,2-0,6,FALSE
